"","folio","staff_t","staff_p","base","n_orgs","p_priv","p_base","compact","truck","pickup","o_veh","a_10","a_20","large_v","p_comp","tot_veh","can_ton","bas_sep","sistema","pobtot2018","P60","hoteles","ingpc2015"
"1258","21160",3,0,3,1,0,1,0,0,0,1,0,0,0,0,1,1,"No","Casa",3577,0.159630975677942,0,11667.5246497146
"1259","21161",3,0,0,1,0,0,2,0,0,0,0,0,1,1,2,3,"No","Casa",21578,0.088006302715729,0,14512.8136945322
"1260","21162",5,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,"No","Casa",4172,0.14261744966443,0,9129.00343642612
"1261","21163",7,0,1,1,0,0.142857142857143,2,0,0,0,1,0,1,1,2,12,"No","Casa",18339,0.0857189595943072,0,19684.7233554309
"1262","21164",28,0,0,1,0,0,4,1,1,0,0.666666666666667,0.166666666666667,0.833333333333333,0.666666666666667,6,80,"Si","Casa",82356,0.0845961435718102,29,16825.6624147137
"1263","21165",3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,"No","Casa",1205,0.135269709543568,0,7208.81860465116
"1264","21166",4,0,3,1,0,0.75,2,0,0,0,0,1,1,1,2,8,"No","Casa",8744,0.147644098810613,0,13766.8611152196
"1265","21167",4,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0.7,"Si","Cont/Casa",10344,0.117169373549884,0,7952.10257687041
"1266","21168",3,0,0,1,0,0,0,1,0,0,0,1,1,0,1,2,"No","Casa",7332,0.120567375886525,0,12623.4141337386
"1267","21169",15,15,0,1,1,0,5,0,0,0,0,1,1,1,5,18,"No","Otra",21958,0.131159486292012,5,15575.6399211506
"1268","21170",4,0,0,1,0,0,2,0,0,0,1,0,1,1,2,4,"No","Casa",18638,0.109614765532782,0,12810.3135957658
"1269","21171",4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.5,"No","Casa",3757,0.10354005855736,0,17626.7923809524
"1270","21172",21,0,0,1,0,0,0,1,2,0,0,1,0.333333333333333,0,3,14,"No","Casa",26929,0.127928998477478,6,12278.5991219183
"1271","21173",3,0,0,1,0,0,1,0,0,0,0,1,1,1,1,7,"No","Casa",6457,0.103143874864488,4,23426.9737171464
"1272","21174",31,0,0,1,0,0,6,0,0,0,NA,NA,1,1,6,70,"No","Cont/Casa",101318,0.104818492271857,21,21944.3125630167
"1273","21175",6,0,0,1,0,0,1,0,0,0,0,1,1,1,1,6,"No","Casa",13503,0.11478930608013,0,13179.0997782705
"1274","21176",3,0,0,1,0,0,1,0,0,0,0,1,1,1,1,6,"No","Casa",9409,0.132001275374641,0,15572.9880749574
"1275","21177",4,0,0,1,0,0,1,0,2,0,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,3,10,"No","Casa",53460,0.0829779274223719,5,12049.760594942
