"","clave_mun","loc","id","SHPANIO","SREENTIDAD","SRETIPOEST","persmednom","persmedac","pers_otro","pers_para","camas_c","consultorios","quiro","procedq","consulta","dias","pmuj","CVE_ZM","servs","tot_servs","mshare","mshare2","hhi","POBTOT","urb","P60","ing_pc","type","staff","staff_ac","staff_otro","grande","chico","metro","centro","noroeste","norte","occidente","spec"
"67",2004,2.03,"2004 131 0456",2020,2,21,4,755,58,90,27,1,4,190,9416,16860,0.567458930443901,2.03,9606,648615,1.48100182696977,2.19336641148781,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",152,0.994729907773386,0.381578947368421,1,0,0,0,1,0,0,0
"68",2004,2.03,"2004 152 2931",2020,2,21,0,5,5,4,2,2,2,360,1265,660,0.672727272727273,2.03,1625,648615,0.250533829775753,0.062767199862106,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",9,1,0.555555555555556,0,1,0,0,1,0,0,0
"69",2004,2.03,"2004 16 1473",2020,2,21,17,0,49,14,22,1,1,5,0,588,0.695652173913043,2.03,5,648615,0.000770873322386932,5.94245679167867e-07,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",80,0,0.6125,1,0,0,0,1,0,0,0
"70",2004,2.03,"2004 95 3357",2020,2,21,0,4,5,4,8,4,2,18,98,165,0.476190476190476,2.03,116,648615,0.0178842610793768,0.000319846794355313,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",9,1,0.555555555555556,0,0,0,0,1,0,0,0
"71",2004,2.03,"2004 235 3198",2020,2,21,0,8,4,5,4,2,1,166,12803,675,0.833943833943834,2.03,12969,648615,1.99949122360722,3.99796515328232,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",9,1,0.444444444444444,0,1,0,0,1,0,0,0
"72",2004,2.03,"2004 150 1543",2020,2,21,0,18,2,4,5,2,1,33,730,144,0.724550898203593,2.03,763,648615,0.117635268996246,0.0138380565118191,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",6,1,0.333333333333333,0,1,0,0,1,0,0,0
"73",2004,2.03,"2004 187 3380",2020,2,21,0,47,15,51,24,1,5,2538,158,9303,0.554275217100868,2.03,2696,648615,0.415654895431034,0.172768992095784,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",66,1,0.227272727272727,1,0,0,0,1,0,0,0
"74",2004,2.03,"2004 188 525A",2020,2,21,0,17,6,7,7,4,2,183,7654,2772,0.669336384439359,2.03,7837,648615,1.20826684550928,1.45990876995694,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",13,1,0.461538461538462,0,0,0,0,1,0,0,0
"75",2004,2.03,"2004 189 2306",2020,2,22,0,4,3,2,2,2,1,0,55,3,0,2.03,55,648615,0.00847960654625625,7.19037271793119e-05,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"spec",5,1,0.6,0,1,0,0,1,0,0,1
"76",2004,2.03,"2004 140 3075",2020,2,21,2,9,2,3,3,1,1,20,7107,2760,0.516943042537852,2.03,7127,648615,1.09880283373033,1.20736766741381,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",7,0.818181818181818,0.285714285714286,0,1,0,0,1,0,0,0
"77",2004,2.03,"2004 181 7133",2020,2,21,0,20,7,5,7,4,1,277,8126,834,0.758134490238612,2.03,8403,648615,1.29552970560348,1.67839721810103,1819.14182880337,1922523,0.984831390833816,0.0880520024987998,9689.77480269417,"gen",12,1,0.583333333333333,0,0,0,0,1,0,0,0
