"","clave_mun","staff","presupparcial","light","waste","poli","tax","pobtot2018","P60","ingpc2015","salmed","compstaff","pcollege","progtot","capreg","pagemed","pageold","ptemp","party2","party","pct_muj"
"331",14026,114,51635067,880,4,26,0.0203125871008505,6253,0.152886614425076,24336.35955925,106158.877192982,0.37719298245614,0.0789473684210526,2,0,0.114035087719298,0,0.368421052631579,"PRI","PRI",0.32967032967033
"332",14027,310,104027553,2658,14,15,0.012403888551776,18162,0.130271996476159,17122.4323529412,69421.2129032258,0.135483870967742,0.167741935483871,4,0,0.441935483870968,0.174193548387097,1,"PAN","PAN",0.29553264604811
"333",14028,112,28505520,399,2,32,0.0279227194405855,2171,0.206356517733763,22112.5612177366,99795.6428571429,0.294642857142857,0.125,0,1,0.25,0.1875,0.267857142857143,"PAN","PAN",0.423076923076923
"334",14029,214,67307669,2631,15,696,0.0733877221267528,17811,0.150131940935377,18297.5033629271,123723.58411215,0.331775700934579,0.163551401869159,19,0,0.44392523364486,0.177570093457944,0.191588785046729,"LEFT","LEFT",0.254901960784314
"335",14031,287,46288991,500,2,62,0.0123217493888426,3371,0.150103826757639,15833.0234151913,48724.543554007,0.0452961672473868,0.0696864111498258,0,1,0.275261324041812,0.233449477351916,0,"PAN","PAN",0.389090909090909
"336",14032,114,33903281,89,4,17,0.0513017745734022,5950,0.126890756302521,16369.4677772907,149804.421052632,0.201754385964912,0.175438596491228,0,0,0.342105263157895,0.394736842105263,0.140350877192982,"LEFT","LEFT",0.333333333333333
"337",14033,271,56804745,2246,18,720,0.0469658180184602,21204,0.136908130541407,21101.2356564019,104986.826568266,0.191881918819188,0.302583025830258,0,0,0.324723247232472,0.309963099630996,0.125461254612546,"PAN","PAN",0.208661417322835
"338",14034,91,16874773,994,1,14,0.0304180212988101,2002,0.238761238761239,19999.2910140148,69281.8021978022,0.21978021978022,0.175824175824176,0,0,0.32967032967033,0.318681318681319,0.43956043956044,"PRI","PRI",0.27710843373494
"339",14035,600,181629033,4000,39,1879,0.0465408428128433,52708,0.121044243758063,21408.1890330037,110561.553333333,0.256666666666667,0.136666666666667,14,1,0.4,0.245,0.0833333333333333,"PAN","PAN",0.254355400696864
"340",14036,291,48325107,966,18,498,0.076842347821037,19736,0.138376570733685,23209.9759795235,111869.841924399,0.278350515463918,0.240549828178694,15,0,0.353951890034364,0.281786941580756,0.652920962199313,"LEFT","LEFT",0.247272727272727
