id,docs,staff,beds,op_rooms,id,surgery,consult,days,id,year,pop,income,P60,urb,hhi,special,central,north,west,big,small
2004 5 3357,3,4,2,1,2004 5 3357,30,235,90,2004 5 3357,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2004 174 0583,27,7,7,1,2004 174 0583,349,1943,1098,2004 174 0583,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 66 1670,11,25,13,3,2004 66 1670,33,630,801,2004 66 1670,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,0
2004 160 3357,6,5,4,1,2004 160 3357,0,85,75,2004 160 3357,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 129 0032,4,7,2,1,2004 129 0032,132,2480,675,2004 129 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 191 4073,5,9,1,1,2004 191 4073,62,2240,195,2004 191 4073,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2004 226 3836,22,42,22,2,2004 226 3836,0,1070,5196,2004 226 3836,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,0
2004 56 0032,90,52,25,3,2004 56 0032,319,19404,999,2004 56 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,1,0
2004 199 5334,8,8,7,1,2004 199 5334,159,2240,582,2004 199 5334,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 126 3840,8,7,2,1,2004 126 3840,53,4187,192,2004 126 3840,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 200 0032,19,9,6,1,2004 200 0032,72,3590,5943,2004 200 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 213 3357,2,4,2,2,2004 213 3357,47,171,249,2004 213 3357,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2004 176 0032,10,13,5,1,2004 176 0032,87,5448,1875,2004 176 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 221 2039,9,16,5,1,2004 221 2039,763,11730,4167,2004 221 2039,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 65 1670,22,11,5,1,2004 65 1670,87,6169,4680,2004 65 1670,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 59 4069,5,6,5,1,2004 59 4069,225,1090,723,2004 59 4069,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 54 2062,15,5,4,2,2004 54 2062,102,2355,606,2004 54 2062,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 194 1632,6,7,4,1,2004 194 1632,374,3472,1896,2004 194 1632,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2004 58 3130,14,73,16,3,2004 58 3130,218,4019,16179,2004 58 3130,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,0
2004 196 4622,12,9,4,1,2004 196 4622,103,9854,3171,2004 196 4622,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2004 2 0032,3,4,3,1,2004 2 0032,0,105,57,2004 2 0032,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2005 12 0082,16,51,7,1,2005 12 0082,158,5400,9606,2005 12 0082,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,1,0,1,0,0,1
2005 10 0434,21,15,5,1,2005 10 0434,295,6299,885,2005 10 0434,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
2005 9 0449,9,7,6,2,2005 9 0449,183,9495,651,2005 9 0449,2020,2157853,9893.71251470791,0.0904181146723155,0.971710769918062,1819.14182880337,0,0,1,0,0,1
3003 2 2233,76,75,31,4,3003 2 2233,814,0,7764,3003 2 2233,2020,292241,5111.72084341348,0.127521463449687,0.926789875479484,3990.53425637573,0,0,1,0,1,0
3003 1 1856,15,25,7,2,3003 1 1856,68,1141,417,3003 1 1856,2020,292241,5111.72084341348,0.127521463449687,0.926789875479484,3990.53425637573,0,0,1,0,0,1
3003 3 1856,13,6,4,1,3003 3 1856,299,2038,525,3003 3 1856,2020,292241,5111.72084341348,0.127521463449687,0.926789875479484,3990.53425637573,0,0,1,0,0,1
