"","X","id","nombre","entidad","capinstt","pobtot","pobh","pobm","staff","contrato","survtec","certif","estud","capacit","sinsent","sex","seg","fed","fed_com","anio","ocup","psisent","logcap","pctmen","pfed","pfed_plus"
"21",27,7004,"05 SAN CRISTÓBAL DE LAS CASAS",7,298,270,251,19,118,"public","no_tech","no_certif",56,24,113,"mixed","min",9,1,2019,0.906040268456376,0.418518518518519,5.6970934865054,0.92962962962963,0.0333333333333333,0.037037037037037
"22",28,7005,"07 HUIXTLA",7,56,53,53,0,55,"public","no_tech","no_certif",31,0,36,"men","min",1,0,2019,0.946428571428571,0.679245283018868,4.02535169073515,1,0.0188679245283019,0.0188679245283019
"23",29,7006,"08 VILLAFLORES",7,196,171,171,0,128,"public","tech","no_certif",34,0,100,"men","min",0,1,2019,0.872448979591837,0.584795321637427,5.27811465923052,1,0,0.00584795321637427
"24",30,7007,"10 COMITÁN",7,142,193,190,3,89,"public","tech","no_certif",66,45,104,"men","min",4,1,2019,1.35915492957746,0.538860103626943,4.95582705760126,0.984455958549223,0.0207253886010363,0.0259067357512953
"25",31,7008,"11 PICHUCALCO",7,240,193,193,0,68,"public","no_tech","no_certif",57,0,85,"men","min",3,0,2019,0.804166666666667,0.440414507772021,5.48063892334199,1,0.0155440414507772,0.0155440414507772
"26",32,7009,"12 YAJALÓN",7,132,79,79,0,84,"public","no_tech","no_certif",19,28,27,"men","min",0,0,2019,0.598484848484849,0.341772151898734,4.88280192258637,1,0,0
"27",33,7010,"13 TONALÁ",7,214,177,177,0,88,"public","no_tech","no_certif",18,0,79,"men","min",2,1,2019,0.827102803738318,0.446327683615819,5.36597601502185,1,0.0112994350282486,0.0169491525423729
"28",34,7011,"14 CINTALAPA",7,1906,1474,1381,93,396,"public","tech","no_certif",261,172,894,"mixed","med",153,0,2019,0.773347324239244,0.60651289009498,7.55276208421415,0.936906377204885,0.103799185888738,0.103799185888738
"29",35,7012,"15 COPAINALÁ",7,120,39,39,0,96,"public","tech","no_certif",10,0,19,"men","min",1,0,2019,0.325,0.487179487179487,4.78749174278205,1,0.0256410256410256,0.0256410256410256
"30",36,7013,"16 OCOSINGO",7,120,186,186,0,82,"public","tech","no_certif",31,0,104,"men","min",2,0,2019,1.55,0.559139784946237,4.78749174278205,1,0.010752688172043,0.010752688172043
"31",37,7014,"17 PLAYAS DE CATAZAJÁ",7,120,165,165,0,55,"public","tech","no_certif",50,48,164,"men","min",1,0,2019,1.375,0.993939393939394,4.78749174278205,1,0.00606060606060606,0.00606060606060606
"32",38,8001,"CERESO ESTATAL NO. 1",8,1894,2812,2812,0,320,"public","tech","certif",398,288,1143,"men","med",632,16,2019,1.48468848996832,0.40647226173542,7.54644627374602,1,0.22475106685633,0.230440967283073
"33",39,8002,"CERESO ESTATAL NO. 2",8,995,760,760,0,149,"public","tech","certif",72,48,91,"men","min",96,0,2019,0.763819095477387,0.119736842105263,6.90274273715859,1,0.126315789473684,0.126315789473684
"34",40,8003,"CERESO ESTATAL NO. 3",8,2806,2906,2906,0,367,"public","tech","certif",722,0,1157,"men","med",89,0,2019,1.03563791874555,0.398141775636614,7.93951526066241,1,0.0306262904335857,0.0306262904335857
"35",41,8004,"CERESO ESTATAL NO. 4",8,292,287,287,0,111,"public","tech","certif",56,96,66,"men","min",11,0,2019,0.982876712328767,0.229965156794425,5.67675380226828,1,0.0383275261324042,0.0383275261324042
"36",42,8005,"CERESO ESTATAL NO. 5",8,168,159,159,0,50,"public","tech","certif",25,46,19,"men","min",5,0,2019,0.946428571428571,0.119496855345912,5.12396397940326,1,0.0314465408805031,0.0314465408805031
"37",43,8006,"CERESO ESTATAL NO. 7",8,376,379,379,0,54,"public","tech","certif",163,39,169,"men","min",7,0,2019,1.00797872340426,0.445910290237467,5.92958914338989,1,0.0184696569920844,0.0184696569920844
"38",44,8007,"CERESO ESTATAL NO. 8",8,320,237,237,0,56,"public","tech","certif",108,23,26,"men","min",1,0,2019,0.740625,0.109704641350211,5.76832099579377,1,0.00421940928270042,0.00421940928270042
