"","folio","anyo","staff_t","base","tot_veh","can_ton","compact","truck","pickup","a_10","POBTOT","P60","hoteles","ingpc2015"
"171",7101,2016,186,31,45,557,45,0,0,1,607777,0.0882215022944271,148,33668.7657741468
"172",7102,2016,58,0,4,25,1,2,0,0.75,42640,0.107059099437148,3,15522.5499596014
"173",7103,2016,5,0,1,12,1,0,0,0,32479,0.0965854860063426,0,11833.3338544517
"174",7104,2016,6,0,1,2.05,0,1,0,0,15577,0.105797008409835,0,11517.5205095541
"175",7105,2016,5,0,1,3,1,0,0,1,15602,0.12684271247276,5,10426.4404583956
"176",7106,2016,26,26,5,32,2,3,0,0.6,65743,0.0895152335609875,13,10459.5754244734
"177",7107,2016,17,0,3,26,1,2,0,0.666666666666667,79908,0.0972368223456976,10,10875.0058506143
"178",7108,2016,25,0,5,110,3,2,0,0.4,106076,0.109091594705683,20,15984.5566675301
"179",7109,2016,20,0,2,30,1,1,0,0.5,38594,0.0679898429807742,17,14986.7613987397
"180",7110,2016,4,0,1,1.8,0,1,0,0,7296,0.0847039473684211,0,7458.32911392405
"181",7111,2016,8,0,2,3,2,0,0,1,42037,0.0628018174465352,0,7025.01364407405
"182",7112,2016,6,0,1,3,0,1,0,0,35992,0.0450377861747055,0,2706.69332216872
"183",7114,2016,14,0,3,4,0,2,1,0.333333333333333,20775,0.0555475330926594,12,13194.9392112967
"184",7115,2016,5,0,2,9,0,2,0,1,13244,0.0524010872848082,6,10993.7142857143
"185",7118,2016,4,0,1,3,0,0,1,1,5287,0.0487989407981842,0,6669.61477572559
"186",7119,2016,3,0,1,2,1,0,0,1,3772,0.0440084835630965,0,2234.17911504425
"187",8001,2016,14,12,4,10,3,1,0,0,12790,0.0859265050820954,5,29242.2087258758
"188",8002,2016,29,17,6,30,6,0,0,0.666666666666667,25253,0.105373618975963,3,33170.5317869002
"189",8003,2016,4,0,1,8,0,1,0,0,8819,0.191971878897834,0,26441.3299363057
"190",8004,2016,6,0,3,20,3,0,0,0,16482,0.0362213323625774,0,26968.5937035727
"191",8005,2016,16,0,4,16.42,4,0,0,0.5,25164,0.09827531394055,16,29621.5127960179
"192",8006,2016,3,0,1,2,1,0,0,0,6185,0.193532740501213,0,26771.4884910486
