"","folio","anyo","staff_t","tot_veh","can_ton","reg","base","compact","truck","pickup","o_veh","n_orgs","a_10","a_20","POBTOT","P60","hoteles","ingpc2015"
"2911",21011,2020,3,1,2,"pub",0,1,0,0,0,1,0,1,1885,0.171352785145889,0,10446.3215507412
"2912",21012,2020,7,1,6.5,"pub",0,1,0,0,0,1,0,1,6591,0.161583978152025,0,11852.5878594249
"2913",21013,2020,12,4,8,"pub",0,2,2,0,0,1,1,0,22629,0.0861284192849883,0,15707.5347681296
"2914",21015,2020,54,5,70,"pub",0,4,0,1,0,1,0,1,125876,0.0734452953700467,10,20806.7349846644
"2915",21016,2020,11,1,10,"pub",0,1,0,0,0,1,0,1,9021,0.127147766323024,3,11666.9309545049
"2916",21017,2020,9,3,9,"pub",0,2,0,1,0,1,0.333333333333333,0.666666666666667,29742,0.0760876874453635,0,12489.0023255814
"2917",21019,2020,93,16,98.019,"pub",60,10,1,5,0,1,0.3125,0.6875,141793,0.132503014958425,40,22945.1236313618
"2918",21020,2020,5,2,2.5,"pub",0,2,0,0,0,1,0,1,7704,0.0920301142263759,0,13453.3733689671
"2919",21021,2020,2,1,1,"pub",0,0,1,0,0,1,0,1,1512,0.119047619047619,0,13908.7624309392
"2920",21023,2020,3,1,1.6,"pub",0,1,0,0,0,1,0,0,9051,0.0997679814385151,0,7455.04180491042
"2921",21025,2020,5,1,4,"pub",0,1,0,0,0,1,0,0,8208,0.123050682261209,3,17119.8638941399
"2922",21026,2020,4,1,7,"pub",0,1,0,0,0,1,0,1,15271,0.142688756466505,0,12812.3158326497
"2923",21028,2020,6,1,1.5,"pub",0,0,0,0,1,1,0,1,2758,0.108049311094996,0,7440.62839879154
"2924",21029,2020,3,1,1.8,"pub",0,0,1,0,0,1,0,1,3811,0.173970086591446,0,12000.3467913302
"2925",21030,2020,3,1,1,"pub",3,0,0,1,0,1,1,0,772,0.19559585492228,0,10124.9277899344
"2926",21031,2020,3,1,2,"pub",0,1,0,0,0,1,1,0,2820,0.173404255319149,0,9634.51434034417
"2927",21033,2020,2,1,1.5,"pub",0,1,0,0,0,1,0,1,5403,0.127521747177494,0,10011.5518207283
"2928",21034,2020,12,4,30,"pub",0,4,0,0,0,1,0.75,0.25,46836,0.0842087283286361,0,21104.3894052857
"2929",21035,2020,3,1,18,"pub",0,1,0,0,0,1,0,1,20653,0.129666392291677,0,15280.5185236866
"2930",21036,2020,6,1,4.2,"pub",0,1,0,0,0,1,0,1,14806,0.110158044036202,4,6243.88967286722
"2931",21038,2020,3,1,3,"pub",0,1,0,0,0,1,1,0,10542,0.0704799848226143,0,15783.438027255
"2932",21040,2020,3,1,5.45,"pub",0,1,0,0,0,1,0,1,12340,0.0783630470016208,0,17705.9629968022
"2933",21041,2020,39,9,92.91,"pub",8,9,0,0,0,1,0.333333333333333,0.666666666666667,137435,0.0745297777131007,4,34040.8593048002
"2934",21043,2020,1,4,20,"pub",0,3,1,0,0,1,1,0,49864,0.128008182255736,38,12283.347241867
"2935",21044,2020,5,1,1.5,"pub",0,0,1,0,0,1,0,0,17139,0.112433630900286,0,12160.7639575972
"2936",21045,2020,16,8,36,"pub",10,2,0,0,6,1,0,1,47410,0.11923644800675,15,15822.2104967724
"2937",21046,2020,2,1,7,"pub",0,1,0,0,0,1,0,1,8193,0.0832417917734651,0,14337.4516893894
"2938",21047,2020,7,2,17,"pub",0,1,0,1,0,1,0,0.5,21699,0.15784137517858,8,17176.3031055901
"2939",21048,2020,6,3,9,"pub",0,2,0,1,0,1,0.333333333333333,0.666666666666667,22039,0.113752892599483,0,13373.993875713
"2940",21049,2020,8,1,5,"pub",0,1,0,0,0,1,1,0,17382,0.0826717293752157,0,9690.49642774833
"2941",21050,2020,1,1,3,"pub",0,1,0,0,0,1,0,1,26928,0.0811051693404635,0,9777.67800696491
"2942",21051,2020,6,2,20,"pub",0,2,0,0,0,1,0,0.5,37030,0.154496354307318,3,15434.0926818078
"2943",21053,2020,44,9,40,"pub",0,5,4,0,0,1,0,1,66464,0.103951011073664,30,15250.8013937282
"2944",21054,2020,12,6,6,"pub",0,1,5,0,0,1,0.666666666666667,0.166666666666667,35223,0.0702665871731539,4,15266.0359194454
"2945",21055,2020,2,1,4.5,"pub",0,1,0,0,0,1,0,1,5082,0.179456906729634,0,11888.7765363128
"2946",21057,2020,7,1,2,"pub",0,1,0,0,0,1,0,1,6687,0.123971885748467,0,10936.4495412844
"2947",21058,2020,12,2,5.142,"pub",0,2,0,0,0,1,1,0,21002,0.0928483001618893,4,9277.84833585477
"2948",21059,2020,2,1,1.1,"pub",0,1,0,0,0,1,0,0,2846,0.200632466619817,0,16382.6428571429
"2949",21060,2020,2,1,3,"pub",0,1,0,0,0,1,1,0,7982,0.0910799298421448,0,14765.9005283294
"2950",21062,2020,3,3,1.68,"pub",0,1,1,1,0,1,0,0.666666666666667,4943,0.152336637669432,0,13461.4746543779
"2951",21064,2020,9,1,2,"pub",0,1,0,0,0,1,1,0,17824,0.160738330341113,4,12967.8648415813
"2952",21065,2020,6,1,16,"pub",0,1,0,0,0,1,1,0,22694,0.0880408918656914,0,14984.457649063
"2953",21067,2020,11,4,3,"pub",0,1,1,1,1,1,0.25,0.25,18784,0.105089437819421,7,12750.9888452474
"2954",21068,2020,10,1,1.2,"pub",0,0,0,1,0,1,1,0,7011,0.160319497931821,0,8162.52901649359
"2955",21069,2020,6,2,31.51,"pub",0,2,0,0,0,1,1,0,29233,0.140047206923682,0,11450.9492837786
"2956",21071,2020,67,8,83,"pub",63,5,1,2,0,1,0.625,0.375,103946,0.109807015180959,24,19991.4819398475
"2957",21072,2020,3,1,16,"pub",0,0,1,0,0,1,1,0,17082,0.166198337431214,5,8355.27236225742
"2958",21073,2020,3,1,15,"pub",0,1,0,0,0,1,0,1,9760,0.151844262295082,0,11918.4162508909
"2959",21074,2020,21,8,70,"pub",0,6,2,0,0,1,0.125,0.75,90794,0.082835870211688,7,20652.9463203328
"2960",21075,2020,3,1,4.61,"pub",0,1,0,0,0,1,0,1,13080,0.0849388379204893,0,11086.174488568
"2961",21076,2020,6,2,10,"pub",0,2,0,0,0,1,0.5,0.5,27600,0.126557971014493,0,13527.8372459957
"2962",21078,2020,3,1,1,"pub",0,1,0,0,0,1,0,1,15928,0.0870793571069814,0,8112.58820650844
"2963",21079,2020,3,1,1.12,"pub",0,1,0,0,0,1,1,0,5782,0.110515392597717,0,16610.3413972417
"2964",21082,2020,6,2,4.8,"pub",0,1,1,0,0,1,0,0.5,8804,0.129600181735575,6,17313.3867595819
"2965",21083,2020,10,2,4,"pub",0,2,0,0,0,1,0.5,0.5,25319,0.15099332517082,0,9397.29668828952
"2966",21084,2020,7,1,3,"pub",7,1,0,0,0,1,1,0,6950,0.141438848920863,3,8348.26901874311
"2967",21085,2020,40,12,75,"pub",0,10,0,2,0,1,0.5,0.416666666666667,82809,0.132364839570578,30,19452.4480785972
"2968",21087,2020,3,1,4,"pub",0,0,1,0,0,1,0,1,13308,0.140216411181244,0,8854.08393551973
"2969",21090,2020,3,1,10,"pub",0,1,0,0,0,1,1,0,23783,0.091451877391414,0,20046.4931639054
"2970",21091,2020,5,2,12,"pub",3,1,1,0,0,1,0,1,9828,0.145197395197395,5,18499.3313946137
"2971",21092,2020,4,1,2.5,"pub",0,1,0,0,0,1,0,0,5293,0.151143019081806,0,10148.8039800995
"2972",21093,2020,3,1,4,"pub",0,0,1,0,0,1,0,1,7650,0.160653594771242,0,9348.1768558952
"2973",21094,2020,22,5,16.046,"pub",0,2,0,3,0,1,0.8,0.2,37257,0.100142255146684,7,15135.6162969864
"2974",21097,2020,3,1,1,"pub",0,1,0,0,0,1,0,1,2668,0.118065967016492,0,15311.4386694387
"2975",21099,2020,5,1,9,"pub",0,1,0,0,0,1,0,1,20659,0.108475724865676,0,11694.277354649
"2976",21100,2020,7,2,7,"pub",0,0,0,2,0,1,0.5,0.5,9310,0.139205155746509,0,8917.25596529284
"2977",21102,2020,3,2,6.3,"pub",0,2,0,0,0,1,1,0,14075,0.0893072824156305,0,13687.5836177474
"2978",21105,2020,4,1,3.5,"pub",0,1,0,0,0,1,0,0,5077,0.164664171754973,0,10813.3237668161
"2979",21106,2020,15,3,25,"priv",0,3,0,0,0,1,1,0,42669,0.0829642128946073,0,15485.3551320015
"2980",21108,2020,6,2,7.75,"pub",6,2,0,0,0,1,0,1,19903,0.0903381399788977,4,14885.7115578565
"2981",21109,2020,13,2,3.5,"pub",0,1,0,1,0,1,0.5,0,20274,0.131695767978692,10,10404.7375368297
"2982",21110,2020,9,4,20,"pub",0,4,0,0,0,1,0,0,50226,0.0833631983434874,3,11745.3319039451
"2983",21111,2020,5,1,2,"pub",0,1,0,0,0,1,1,0,18528,0.175140328151986,3,12022.2023483366
"2984",21112,2020,4,1,5,"pub",0,1,0,0,0,1,0,1,9350,0.184491978609626,0,10206.9287469287
"2985",21113,2020,2,1,10,"pub",0,1,0,0,0,1,0,0,4627,0.232980332829047,0,14406.7058823529
"2986",21114,2020,533,61,1393.795,"priv",452,61,0,0,0,2,1,0,1692181,0.126997052915734,254,33583.7313048619
"2987",21115,2020,6,4,8,"pub",0,4,0,0,0,1,0.5,0.5,57992,0.0774589598565319,0,13506.1995006304
"2988",21116,2020,8,2,3.5,"pub",0,2,0,0,0,1,0,1,22855,0.0944651061036972,0,8385.8031420327
"2989",21117,2020,5,2,15,"pub",0,2,0,0,0,1,0,0,15952,0.0932798395185557,5,22118.1721674039
"2990",21118,2020,10,4,7.675,"pub",0,4,0,0,0,1,0.75,0.25,30021,0.0822757403151128,0,13320.3151260504
"2991",21119,2020,51,14,130,"pub",0,0,0,0,14,1,1,0,154448,0.0995286439448876,17,88983.3293675813
"2992",21122,2020,3,1,4,"pub",0,1,0,0,0,1,0,1,11063,0.112356503660851,0,15271.8772027042
"2993",21124,2020,6,2,11,"pub",0,2,0,0,0,1,0,1,15954,0.11200952739125,3,14837.5099609776
"2994",21125,2020,3,1,3.7,"pub",0,1,0,0,0,1,0,1,9671,0.124599317547306,0,27615.2185677051
"2995",21126,2020,5,1,3,"pub",0,1,0,0,0,1,0,1,6597,0.102773988176444,0,11659.0251012146
"2996",21128,2020,2,1,6,"pub",0,1,0,0,0,1,1,0,10443,0.0935554917169396,0,17446.1086186541
