clave_municipio,INGTRHOG_EXP,NUMPERS_EXP,ingpc2015
7011,3582652,5418,7934.998892580287
7012,72359853,44005,19732.263061015794
7013,21624955,19679,13186.618222470654
7014,4905424,9536,6172.93288590604
7015,37100904,36214,12293.887667752802
7016,11859786,10562,13474.477561067979
7017,96708289,69886,16605.607246086485
7018,4049613,5844,8315.427104722792
7019,215188101,132452,19495.796303566574
7020,23580624,31390,9014.574323032813
7021,16161089,14893,13021.75975290405
7022,1378320,6241,2650.1906745713827
7023,20282717,43932,5540.21223709369
7024,733948,1758,5009.883959044369
7025,3193815,3855,9941.836575875486
7026,6940321,18323,4545.317469846641
7027,151745826,86167,21132.799238687665
7028,3869068,4249,10926.998352553543
7029,5511573,3122,21184.777706598335
7030,12268231,14473,10171.959649001588
7031,16968411,25925,7854.230742526519
7032,26089076,23880,13110.088442211054
7033,2367828,3973,7151.758368990687
7034,51963805,49441,12612.318925588075
7035,10818991,10293,12613.221801224132
7036,1889260,2254,10058.172138420585
7037,38494702,28266,16342.475907450647
7038,5461119,5969,10978.96264030826
7039,5953868,6880,10384.653488372092
7040,63753933,46243,16544.064961183314
7041,14406121,23815,7259.015410455595
7042,5864640,8711,8078.9438640799
7043,9014540,7758,13943.604021655065
7044,16011057,16477,11660.659343327063
7045,3773022,3942,11485.607305936073
7046,32557225,30831,12671.878953001848
7047,9180549,11741,9383.066859722341
7048,30668119,18218,20200.759029531233
7049,5031034,13594,4441.106958952479
7050,5191712,3963,15720.551097653293
7051,45056812,36326,14884.153058415459
7052,36785839,41154,10726.29800262429
7053,2258418,2548,10636.19152276295
7054,29488205,24941,14187.821659115514
7055,7252734,4683,18584.84048686739
7056,1166322,2246,6231.46215494212
7057,35095682,40430,10416.72480831066
7058,869344,2453,4252.803913575214
7059,94608438,74163,15308.18947453582
7060,3584273,7495,5738.662575050033
7061,98812038,74370,15943.854457442518
7062,17179269,14807,13922.552036199095
7063,2908591,2200,15865.041818181819
7064,6004690,9574,7526.246083141843
7065,107860759,66188,19555.3439898471
7066,4031349,7646,6326.992937483652
7067,4088645,6468,7585.6122448979595
7068,42026895,26245,19215.955039055058
7069,56866404,45046,15148.888869155973
7070,2027014,2552,9531.41379310345
7071,22721792,22642,12042.28884374172
7072,11433428,13635,10062.422882288229
7073,4991565,5027,11915.412771036403
7074,104700814,37424,33572.3003420265
7075,20444483,22377,10963.658935514144
7076,3247445,3737,10427.974310944608
7077,17130374,14485,14191.542147048673
7078,351464854,185506,22735.535497504123
7079,52393155,33848,18574.741786811628
7080,8638416,15464,6703.375064666322
7081,16374975,19196,10236.49197749531
7082,1405642,1624,10386.51724137931
7083,10695844,13717,9357.011591455857
7084,3656152,4947,8868.773802304428
7085,5489151,5514,11945.921653971709
7086,30266138,21768,16684.750826901873
7087,43037458,34406,15010.448642678602
7088,1803038,1841,11752.556219445954
7089,618044758,307956,24083.106339866732
7090,1687259,1771,11432.584980237154
7091,12692526,9991,15244.751476328694
7092,27872506,27760,12048.63371757925
7093,5274600,13326,4749.75236380009
7094,25711653,32345,9539.027237594682
7096,15669054,16572,11346.165097755249
7097,110297664,75586,17510.80845659249
7098,1467123,2364,7447.324873096447
7099,28748069,33140,10409.680989740495
7100,5822085,11292,6187.12539851222
7101,1492898326,532089,33668.76577414681
7102,43226421,33417,15522.549959601401
7103,25230640,25586,11833.333854451652
7104,11301567,11775,11517.52050955414
7105,10462933,12042,10426.440458395615
7106,42660250,48943,10459.575424473367
7107,55763405,61532,10875.005850614314
7108,113136028,84934,15984.556667530083
7109,30321965,24279,14986.76139873965
7110,1767624,2844,7458.32911392405
7111,15875360,27118,7025.013644074046
7112,2154979,9554,2706.693322168725
7113,803613,3403,2833.7807816632385
7114,12770502,11614,13194.93921129671
7115,1519881,1659,10993.714285714286
7116,3947224,4057,11675.298989401035
7117,2427065,4774,6100.708001675744
7118,1263892,2274,6669.614775725594
7119,525963,2825,2234.1791150442477
8001,26642089,10933,29242.20872587579
8002,57437540,20779,33170.53178690024
8003,15567333,7065,26441.32993630573
8004,31766756,14135,26968.593703572693
8005,49095189,19889,29621.5127960179
8006,10467652,4692,26771.488491048593
8007,10582964,7105,17874.112315270937
8008,3293060,2985,13238.432160804019
8009,34333877,17224,23920.490246168138
