"","clave_mun","POBTOT","P_60YMAS","pob_urb"
"1987",27014,96741,10332,53391
"1988",27015,47905,5312,10805
"1989",27016,58718,6243,33220
"1990",27017,62310,7586,34946
"1991",28001,9822,1762,5255
"1992",28002,28725,4616,14334
"1993",28003,269790,24475,247400
"1994",28004,8850,1554,3488
"1995",28005,4256,942,NA
"1996",28006,7542,1270,NA
"1997",28007,16546,2575,9373
"1998",28008,4143,646,NA
"1999",28009,205933,35538,205933
"2000",28010,1671,344,NA
"2001",28011,8288,1427,NA
"2002",28012,41470,6041,27325
"2003",28013,15032,2439,NA
"2004",28014,3803,633,3451
"2005",28015,15677,2358,12067
"2006",28016,17012,3772,9415
"2007",28017,15994,2518,6286
"2008",28018,6375,1077,4368
"2009",28019,14645,3304,3679
"2010",28020,2048,555,NA
"2011",28021,106144,18962,82032
"2012",28022,541979,54690,516075
"2013",28023,4280,848,NA
"2014",28024,6385,1301,6061
"2015",28025,26237,4181,23006
"2016",28026,3704,636,NA
"2017",28027,425058,42464,423830
"2018",28028,3810,566,2758
"2019",28029,13190,2552,5456
"2020",28030,13618,2285,8613
"2021",28031,1917,373,NA
"2022",28032,704767,58098,691557
"2023",28033,132484,14910,121586
"2024",28034,7411,1778,NA
"2025",28035,51405,7470,33967
"2026",28036,926,127,NA
"2027",28037,23673,3386,11311
"2028",28038,297562,50998,297373
"2029",28039,28230,4466,10977
"2030",28040,60055,8464,54433
"2031",28041,349688,44810,332100
"2032",28042,5361,1212,NA
"2033",28043,22229,3804,10327
"2034",29001,11403,1380,10417
"2035",29002,16003,1926,14759
"2036",29003,7087,801,NA
"2037",29004,18111,2130,7232
"2038",29005,80725,10727,77753
"2039",29006,51172,5269,40824
"2040",29007,17332,1576,14004
"2041",29008,16222,1513,10070
"2042",29009,5928,707,3213
"2043",29010,73215,8629,68866
"2044",29011,4755,581,NA
"2045",29012,9416,1190,3119
"2046",29013,98764,9245,80585
"2047",29014,15190,1892,8726
"2048",29015,38970,4917,27289
"2049",29016,7504,1099,7436
"2050",29017,11592,1088,11580
"2051",29018,38579,4128,33324
"2052",29019,22274,2113,21763
"2053",29020,9432,1020,8407
"2054",29021,18686,2358,13401
"2055",29022,6432,588,NA
"2056",29023,26309,3123,12890
"2057",29024,28357,3768,17224
"2058",29025,82688,6081,81700
"2059",29026,24116,2434,22528
"2060",29027,12974,1657,12892
"2061",29028,25257,2384,24346
"2062",29029,13328,1574,6632
"2063",29030,15475,1571,9302
"2064",29031,35284,3389,31119
"2065",29032,13561,1720,8685
"2066",29033,99896,12810,97708
"2067",29034,45438,4810,29464
"2068",29035,6294,630,6230
"2069",29036,22529,2825,12937
"2070",29037,9207,1136,6926
"2071",29038,18006,1742,12628
"2072",29039,25607,2386,22625
"2073",29040,10601,1442,3217
"2074",29041,33499,3543,33279
"2075",29042,14197,1806,14197
"2076",29043,42242,4075,36186
"2077",29044,45717,5158,45587
"2078",29045,6211,603,6185
"2079",29046,4951,437,3364
"2080",29047,3534,337,3117
"2081",29048,19036,142,19036
"2082",29049,5884,776,5832
"2083",29050,11761,1339,11746
"2084",29051,4092,583,4061
"2085",29052,6436,786,6178
"2086",29053,7688,839,7679
"2087",29054,5689,743,5684
"2088",29055,3077,449,2892
"2089",29056,7952,914,7951
"2090",29057,4636,608,4624
"2091",29058,9463,1174,9458
"2092",29059,7750,695,5557
"2093",29060,5443,520,5443
"2094",30001,9701,1006,NA
"2095",30002,3441,398,3253
"2096",30003,80815,11095,55357
"2097",30004,41742,7957,7936
"2098",30005,5253,988,2761
"2099",30006,23100,2263,7773
"2100",30007,6538,1065,NA
"2101",30008,10338,1122,NA
"2102",30009,28184,5376,11904
"2103",30010,64234,6456,27623
"2104",30011,57035,9489,27081
"2105",30012,7866,1551,NA
"2106",30013,26843,4984,19272
"2107",30014,46955,6059,24157
"2108",30015,33839,6438,13225
"2109",30016,28682,4323,20165
"2110",30017,4709,875,NA
"2111",30018,1978,188,NA
"2112",30019,6909,573,NA
"2113",30020,11577,976,NA
"2114",30021,23461,3744,17108
"2115",30022,22651,2268,15370
"2116",30023,49180,6772,6699
"2117",30024,16485,1781,5686
"2118",30025,27217,2837,7379
"2119",30026,25993,2927,22760
"2120",30027,16120,3024,NA
"2121",30028,144550,27380,141999
"2122",30029,13701,1204,NA
"2123",30030,41835,6632,38263
"2124",30031,18888,2130,NA
"2125",30032,49451,6779,28655
"2126",30033,24421,3684,4773
"2127",30034,25011,4946,21318
"2128",30035,11165,2186,5070
"2129",30036,11018,1054,7977
"2130",30037,8176,984,5900
"2131",30038,93911,13596,72805
"2132",30039,310698,42412,301852
"2133",30040,55016,7493,37193
"2134",30041,2355,294,NA
"2135",30042,5743,1064,NA
"2136",30043,19876,2428,5178
"2137",30044,204721,28838,167459
"2138",30045,54737,9836,36795
"2139",30046,16167,2164,4768
"2140",30047,59471,5052,33237
"2141",30048,130903,15815,102380
"2142",30049,22050,3102,NA
"2143",30050,16333,2541,4561
"2144",30051,23096,3255,9113
"2145",30052,11869,1623,6727
"2146",30053,28075,3777,14304
"2147",30054,11461,2382,3855
"2148",30055,13527,2652,2799
"2149",30056,6610,1230,NA
"2150",30057,13881,1504,3500
"2151",30058,53858,11863,4823
"2152",30059,22638,2938,13974
"2153",30060,16283,2436,9170
"2154",30061,81080,9602,46909
"2155",30062,20839,2153,15105
"2156",30063,13359,2904,NA
"2157",30064,4008,546,NA
